#Table1
objid,ra,dec,specobjid,ra1,dec1
1237678919135986365,11.8756922434899,12.0877202514486,12432222922332198912,11.875692,12.08772
1237679319094461184,11.8757639070052,10.2926054812104,12438075622089316352,11.875764,10.292605
1237678918599180833,12.0068495292728,11.5795465121572,6986449269051119616,12.006848,11.579541
1237678859013587563,12.0073964622072,12.296802925322,6986441297591818240,12.007394,12.296798
1237678833756275283,12.1557513556457,10.2479438345097,5116251727767820288,12.15575,10.247941
1237678920209859134,12.156032348963,12.911621422067,12432217974529873920,12.156032,12.911621
1237678918062375400,12.1566463249682,11.1960353184648,6986252181591840768,12.156647,11.196028
1237678907861565839,12.3186366909692,10.7633012320592,5116250628256192512,12.318636,10.763295
1237678919136182767,12.3190321131972,11.9903619521474,6986461638556932096,12.319029,11.99036
1237678833756340640,12.319349345547,10.2023544258479,5116263822395725824,12.319349,10.202351
1237678919136182576,12.320187986638,12.0500755574807,6986469060260419584,12.320189,12.050077
1237678920209990024,12.4836206051717,12.9127962605762,12432194335029876736,12.483621,12.912796
1237678857940107593,12.4841553147392,11.5512668588485,6986473733184837632,12.484153,11.551271
1237678919673184968,12.6596389098067,12.5931457858614,12432187188204296192,12.659639,12.593146
1237678920210055403,12.6610504275922,12.9817175278627,6987443778291521536,12.661052,12.981723
1237678859013980467,12.8277820955401,12.225333465744,6987427285617104896,12.827784,12.225334
1237678918599508696,12.8282604389876,11.7539722542887,6424529282778028032,12.828259,11.753971
1237678907325022483,12.9828391153614,10.3965306250699,12446974794410514432,12.982839,10.396531
1237678919673316148,12.9830992561658,12.461695436563,6987428110250825728,12.983102,12.461689
1237678858477175024,12.9835886103093,11.8671489801032,6424535604969887744,12.983591,11.867147
1237679319630545353,10.0304461312942,10.6340783654418,6368119384695920640,10.030445,10.634078
1237678857939058989,10.0316509935066,11.5843187513652,6981959138424412160,10.031648,11.58432
1237678906786906486,10.171115494852,10.0773842717282,5114034012445497344,10.171112,10.077383
1237678918061654401,10.4811489749243,11.2581930469674,6368363751155193856,10.48115,11.25819
1237678907860779719,10.481274657761,10.8143437222003,6368096294951737344,10.481274,10.814344
1237678859549934212,10.7474101967709,12.7867308857328,12432283395471726592,10.74741,12.786731
1237679319630808155,10.7478672656868,10.7062391783534,12437999206031185920,10.747867,10.706239
1237678919672398646,10.7478778979396,12.5878755707995,12432291641808934912,10.747878,12.587876
1237678859013128754,10.8888678897462,12.3368810711948,6982902245865314304,10.888866,12.336879
1237678919672463424,10.8899064067385,12.6341096876568,12432280646692657152,10.889906,12.63411
1237678920209334989,11.0260916649211,12.9867746248835,6983043807987390464,11.026091,12.986772
1237678857939452393,11.0261404296525,11.5755175057274,6982886852702525440,11.02614,11.575518
1237679319094068215,11.0272294994475,10.2664215236856,12438022570653276160,11.027227,10.266416
1237679319630939059,11.027703826808,10.6522785512368,12438020646507927552,11.027704,10.652279
1237678859013259910,11.1443838040809,12.2522874822167,12432264154018240512,11.144384,12.252287
1237678919135658089,11.1456650813363,12.1866787233026,12432265253529868288,11.145665,12.186679
1237678907324236522,11.2876761308297,10.4003327355078,6986289564987185152,11.28767,10.400328
1237679319094198586,11.2876792669335,10.1538421874207,12438046210153273344,11.287679,10.153842
1237678858476454204,11.2887879330678,12.0010222866907,6986398966394148864,11.288786,12.001018
1237678919135724071,11.2890924622607,12.1386318537549,6982879980754851840,11.28909,12.138629
1237678919672660162,11.4410646481622,12.4494064416756,6986398691516241920,11.441067,12.449405
1237678919135789445,11.4410738061883,12.0912875531499,6982861014179272704,11.441073,12.091286
1237679320168006061,11.441232678727,11.1789937564993,6986285991574394880,11.441233,11.178995
1237678906787496100,11.4420274045568,10.1092822298197,12438056105757923328,11.442027,10.109282
1237678859550327076,11.5964015924442,12.6324620625049,6986412710289496064,11.596399,12.632461
1237678907861238233,11.5979129137385,10.8381181603801,6986270598411606016,11.597913,10.838115
1237678919135920241,11.7512231324471,12.1757881411322,6982846170772297728,11.751222,12.175788
1237678920209662361,11.7518541957141,12.9168096802722,6982858265400203264,11.751855,12.916809
1237679319094395093,11.7520174423953,10.2813911419894,12438065451606759424,11.752017,10.281391
1237678918062178343,11.752035486103,11.3640452759205,6986438548812748800,11.752032,11.364045
1237678919672791919,11.7526132415791,12.4628919539485,6982854142231599104,11.752613,12.462887
1237678919136051254,12.0387015845163,12.0695094999733,6982832426876950528,12.038703,12.069509
1237678858476782223,12.0397950136476,11.9871966668355,6986440198080190464,12.039792,11.987193
1237678857939976410,12.2079365132876,11.4328715462223,6986454766609258496,12.207935,11.432871
1237678834830213392,12.5491681576035,10.981675115181,6986217821853472768,12.549167,10.981677
1237678859013915272,12.7116450343119,12.2904642603596,6987435806832220160,12.711641,12.290462
1237678918599508331,12.7121074274284,11.6523213841251,6986480880010418176,12.712104,11.652323
1237678920208941939,10.0332815281452,12.9427699240934,6976080599556839424,10.033278,12.942769
1237678859549737212,10.1869866063727,12.7592547566834,6982940179016472576,10.186986,12.759251
1237678857939124564,10.1872005365051,11.4717064369058,6981960237936039936,10.187199,11.471699
1237678858476060969,10.3237313940507,11.8803793898343,6981966835005806592,10.32373,11.880376
1237678906786971698,10.3245770102061,10.0807809956125,12437991784327698432,10.324577,10.080781
1237678857939189895,10.3251249416731,11.4390529102295,6368357154085427200,10.325125,11.439048
1237679319093805724,10.3252855603312,10.2990842233143,6368103441777317888,10.325285,10.299084
1237679319630676265,10.3257405771809,10.6073976776442,12437978040432351232,10.325741,10.607398
1237678857939320859,10.6321404972828,11.5112083662328,6982919563173451776,10.632138,11.511206
1237678919135461852,10.6330728635039,12.1359176783236,6982922861708335104,10.63307,12.135916
1237678907323974074,10.6335726196971,10.5014290927187,12437998381397465088,10.633573,10.501429
1237678859013128244,10.7969951867853,12.4153423691203,6982903895132755968,10.796996,12.415343
1237679319094001953,10.7972583041114,10.1865291563234,12438012125292812288,10.797258,10.186529
1237678859013128350,10.7986178203651,12.3889679783637,6986364056899966976,10.798617,12.388968
1237679320167744215,10.7990163886509,11.076404490967,6986327498138343424,10.799018,11.076404
1237679320167809486,10.9427588113429,11.0080552927352,6986317052777879552,10.942759,11.008052
1237678859549999751,10.942808818712,12.7521985776693,12432270476210100224,10.942809,12.752199
1237678919135592672,10.9429187551155,12.1271485174222,12432275424012425216,10.942919,12.127149
1237679319630938394,10.9431428215298,10.6321539823208,6986315128632530944,10.943144,10.632152
1237678859013193948,10.9440962175034,12.3155622536306,12432278722547308544,10.944096,12.315562
1237679319094133121,11.0771711398579,10.248177578682,6986299460591835136,11.077171,10.248177
1237678857939583360,11.2350468122352,11.486542257592,6986404189074380800,11.235047,11.486545
1237678919135724157,11.2358196871506,12.2065876252985,12432256457436846080,11.23582,12.206588
1237678918598852737,11.2358520040964,11.7103445312692,6982876957097875456,11.235854,11.710344
1237678858476454097,11.3871533622915,11.9287501361767,12432254258413590528,11.387153,11.92875
1237678907324367060,11.5466897984996,10.4932146074706,12438064352095131648,11.54669,10.493215
1237678859550261320,11.5483073123813,12.7501878121505,12432238865250801664,11.548307,12.750188
1237678859550261772,11.5483208390993,12.8140623275639,6982868161004853248,11.548319,12.814066
1237678859550327322,11.6984359149612,12.6966695793313,6982866236859504640,11.698434,12.696669
1237678918599049447,11.6986075143807,11.7531631593156,6986423980283680768,11.698607,11.753167
1237678906787561579,11.6994222140011,10.0134029858563,5114106855090837504,11.699422,10.013403
1237678859550392970,11.8578575289117,12.7112018684484,6982856341254854656,11.857854,12.711208
1237678919135986109,11.8583691313006,12.0275081254869,6986432226620889088,11.858368,12.027506
1237678857939910897,12.023404092207,11.5230307066816,6986448444417398784,12.023401,11.523028
1237679319631397379,12.0247068492344,10.6416205323325,6986247233789515776,12.024703,10.641618
1237678907861500332,12.1813802889366,10.853798648662,6986238162818586624,12.18138,10.853794
1237678906787954945,12.5166643290937,10.0613713878816,5116265471663167488,12.516661,10.06137
1237678833756602482,12.8571339291252,10.1926055905504,12446972870265165824,12.857134,10.192606
