#Table1
specobjid,ra,dec
6982936880481589248,10.314018,12.602287
6981721369034905600,10.314862,10.393086
6368097944219179008,10.315008,10.844126
6368090247637784576,10.316274,10.519042
6981967109883713536,10.317806,11.928407
5114035111957125120,10.31868,10.404186
6981966560127899648,10.320063,11.901513
6368350557015660544,10.320272,11.86839
12432313082285676544,10.322077,12.561585
6368355229940078592,10.322325,11.589019
6982936055847868416,10.322598,12.585768
6981966835005806592,10.32373,11.880376
6981712572941883392,10.324025,10.875891
12437991784327698432,10.324577,10.080781
6368357154085427200,10.325125,11.439048
6368103441777317888,10.325285,10.299084
12437978040432351232,10.325741,10.607398
6981713122697697280,10.327206,10.944933
12432315556186839040,10.327927,12.806627
6368358528474961920,10.328977,11.15186
6981719444889556992,10.330005,10.210015
6368098768852899840,10.330427,10.507278
6981969034029062144,10.330592,11.845166
6981973157197666304,10.33164,11.40961
12432310333506607104,10.331789,12.224138
12432313632041490432,10.332748,12.587142
12432311982774048768,10.332919,12.279901
6986359933731362816,10.333601,11.433613
6986360483487176704,10.333694,11.451524
6981715596598859776,10.335094,11.000848
12432317755210094592,10.336421,12.970454
6981715871476766720,10.337421,11.09868
6981971507930224640,10.337734,11.520326
6982946501208332288,10.338511,12.414231
6368099318608713728,10.342533,10.852749
12432308409361258496,10.345694,12.124902
5114042258782705664,10.346985,10.673973
6986361582998804480,10.347415,11.275523
6368352206283102208,10.347695,11.765828
5114034837079218176,10.348563,10.183088
6982939079504844800,10.350909,12.647727
6981964086226737152,10.350955,12.022415
6982944577062983680,10.351636,11.967237
5114042533660612608,10.35261,10.581982
6982930008533915648,10.353661,12.831231
6368349182626125824,10.354212,11.975962
12432312807407769600,10.355156,12.489009
6368107015190108160,10.357753,11.024671
6368357703841241088,10.360887,11.2314
6981711198552348672,10.361777,10.476601
6981712847819790336,10.361802,10.679187
6986362407632525312,10.363871,11.136484
6982926160243218432,10.365423,12.674374
12432311158140327936,10.36578,12.190887
6982936330725775360,10.366036,12.555865
12437977765554444288,10.366569,10.457568
6983012471905998848,10.367828,12.919073
12432307309849630720,10.368115,12.987688
6982928359266473984,10.368719,12.696388
6368099868364527616,10.369531,10.742421
12432305110826375168,10.372251,12.734013
12437989035548628992,10.374132,10.440644
12437988760670722048,10.374504,10.315283
6986347564225550336,10.374643,11.936379
6986339043010435072,10.375658,10.805295
6981969858662782976,10.376156,11.699528
12437987386281187328,10.377171,10.532937
