#Table1
objid,ra,dec
1237679319630545650,10.1305836815171,10.7645683811371
1237678859012800900,10.1305985902353,12.3645671786372
1237678919672136320,10.1306056698326,12.5374038402663
1237678919135265658,10.1306257121134,12.0366464584276
1237678858475929787,10.1306456592302,11.9947251848038
1237678859549671459,10.1306571479972,12.8172068738523
1237678859549672181,10.1306600603826,12.8343318076719
1237678920209006981,10.1307149563569,12.9928063294545
1237678859012800901,10.1307373689654,12.362824366368
1237678919135265801,10.1307467138185,12.0876255939666
1237678858475930543,10.1307576599611,11.9840813883983
1237678857939059167,10.130777965836,11.5031895944954
1237678857939059541,10.1307808274293,11.4589483147759
1237679319630545663,10.1307937386466,10.6339744696685
1237678918061523367,10.1308459638083,11.2707765503238
1237678859549671907,10.1308491194815,12.7935092319235
1237678907860648341,10.1308550338894,10.8583925442757
1237678918061523202,10.1308583947871,11.249279242963
1237678858475930346,10.1308639658372,11.931960494252
1237678907860648738,10.1308652837102,10.8019692983878
1237678857939058751,10.1308862585468,11.6044098686418
1237678906786906432,10.1308871641722,10.060113077116
1237678859549671466,10.1308960124729,12.752639919872
1237678858475929889,10.1309354738208,11.8666743790778
1237678919135265529,10.1309559743668,12.2198850842067
1237679319630545215,10.1309853222692,10.744087578713
1237678859549671912,10.1310008028905,12.6773410267703
1237679319093674818,10.1310126224938,10.1833113757803
1237678918061523906,10.1310184108852,11.3410002391709
1237678907860648342,10.131021226542,10.8669541508049
1237678918598394220,10.1310216378807,11.7176532169024
1237679319630545667,10.1310313762197,10.7313550642438
1237678918598394222,10.1310483250919,11.6408714234503
1237679319630545212,10.1310825178371,10.7926789937539
1237679319630545213,10.1310904040795,10.7949869411754
1237678857939059621,10.1311211854089,11.4355733019164
1237678859549671467,10.1311258886107,12.7537374013162
1237678857939058926,10.1311326961014,11.547095110298
1237678919135265244,10.1311393192155,12.0583186577404
1237678907323777929,10.1311997759516,10.4989921733715
1237679319630545063,10.1312040540225,10.7784311586197
1237678920209006834,10.1312171519035,12.9904948010061
1237679319630546114,10.1312373718108,10.6589588095799
